ticker,date,open,high,low,close
DESO,2022-08-24,6.12,6.3,6.02,6.06
DESO,2022-08-25,6.09,6.3,5.94,6.08
DESO,2022-08-26,6.06,6.19,5.44,5.78
DESO,2022-08-27,5.7,5.71,5.44,5.53
DESO,2022-08-28,5.49,6.72,5.49,5.86
DESO,2022-08-29,5.81,6.16,5.64,5.9
DESO,2022-08-30,5.94,6.32,5.73,5.79
DESO,2022-08-31,5.79,5.92,5.45,5.67
DESO,2022-09-01,5.65,5.73,5.3,5.6
DESO,2022-09-02,5.6,6.03,5.2,5.49
DESO,2022-09-03,5.5,5.64,5.43,5.54
DESO,2022-09-04,5.66,5.68,5.53,5.65
DESO,2022-09-05,5.68,6.08,5.62,6.0
DESO,2022-09-06,6.03,6.4,5.52,5.65
DESO,2022-09-07,5.63,6.05,5.32,5.8
DESO,2022-09-08,5.78,5.96,5.42,5.53
DESO,2022-09-09,5.48,5.85,5.48,5.76
DESO,2022-09-10,5.75,5.85,5.61,5.74
DESO,2022-09-11,5.75,5.94,5.71,5.84
DESO,2022-09-12,5.83,6.24,5.83,6.12
DESO,2022-09-13,6.13,6.2,5.47,5.62
DESO,2022-09-14,5.61,5.81,5.4,5.78
DESO,2022-09-15,5.8,6.0,5.67,5.83
DESO,2022-09-16,5.84,6.19,5.76,6.15
DESO,2022-09-17,6.14,6.96,5.99,6.73
DESO,2022-09-18,6.84,6.96,5.89,5.91
DESO,2022-09-19,5.94,6.33,5.73,6.29
DESO,2022-09-20,6.26,7.09,6.06,6.45
DESO,2022-09-21,6.48,6.79,5.78,6.33
DESO,2022-09-22,6.33,6.98,5.99,6.15
DESO,2022-09-23,6.19,6.61,6.1,6.59
DESO,2022-09-24,6.59,6.73,6.4,6.56
DESO,2022-09-25,6.53,6.65,6.38,6.5
DESO,2022-09-26,6.5,6.93,6.47,6.84
DESO,2022-09-27,6.84,6.95,6.55,6.78
DESO,2022-09-28,6.75,6.83,6.44,6.76
DESO,2022-09-29,6.75,7.98,6.74,7.43
DESO,2022-09-30,7.36,10.87,7.26,10.34
DESO,2022-10-01,10.33,12.6,8.84,11.56
DESO,2022-10-02,11.51,15.85,10.74,14.18
DESO,2022-10-03,14.09,21.21,13.39,13.95
DESO,2022-10-04,13.93,16.39,12.2,14.43
DESO,2022-10-05,14.41,15.4,13.88,14.2
DESO,2022-10-06,14.2,18.93,13.51,17.98
DESO,2022-10-07,18.0,24.45,16.47,20.69
DESO,2022-10-08,20.74,22.71,18.47,19.79
DESO,2022-10-09,19.78,23.07,18.82,20.67
DESO,2022-10-10,20.62,22.21,19.84,20.36
DESO,2022-10-11,20.23,20.51,15.65,18.75
DESO,2022-10-12,18.5,18.78,15.56,16.49
DESO,2022-10-13,16.6,16.73,13.35,15.0
DESO,2022-10-14,14.83,17.94,14.71,16.85
DESO,2022-10-15,16.76,17.61,16.5,16.96
DESO,2022-10-16,17.05,17.19,15.26,16.28
DESO,2022-10-17,16.13,16.44,15.43,15.69
DESO,2022-10-18,15.78,15.82,13.79,15.45
DESO,2022-10-19,15.46,18.28,15.31,17.61
DESO,2022-10-20,17.69,17.71,15.31,16.04
DESO,2022-10-21,16.02,16.51,15.37,15.57
DESO,2022-10-22,15.7,16.19,14.75,15.07
DESO,2022-10-23,15.01,15.53,14.94,15.41
DESO,2022-10-24,15.47,16.81,15.29,15.73
DESO,2022-10-25,15.82,16.9,15.62,16.69
DESO,2022-10-26,16.67,16.73,16.08,16.44
DESO,2022-10-27,16.54,16.65,15.36,15.68
DESO,2022-10-28,15.3,15.98,14.82,15.81
DESO,2022-10-29,15.86,16.02,14.89,15.29
DESO,2022-10-30,15.35,15.4,15.01,15.17
DESO,2022-10-31,15.1,15.44,15.0,15.11
DESO,2022-11-01,15.16,15.27,14.35,14.52
DESO,2022-11-02,14.48,15.19,14.32,14.36
DESO,2022-11-03,14.35,14.5,14.05,14.17
DESO,2022-11-04,14.21,14.49,14.06,14.22
DESO,2022-11-05,14.19,14.64,13.45,14.24
DESO,2022-11-06,14.03,14.42,13.81,13.89
DESO,2022-11-07,13.81,16.03,12.73,15.38
DESO,2022-11-08,15.49,15.93,10.62,12.15
DESO,2022-11-09,12.38,12.46,7.65,7.84
DESO,2022-11-10,7.94,11.92,7.77,10.56
DESO,2022-11-11,10.39,10.53,9.0,9.74
DESO,2022-11-12,9.72,10.16,9.23,9.83
DESO,2022-11-13,9.72,9.85,8.85,8.85
DESO,2022-11-14,8.81,14.61,8.72,12.26
DESO,2022-11-15,12.29,12.29,10.37,10.63
DESO,2022-11-16,10.67,11.17,10.56,10.87
DESO,2022-11-17,10.84,11.01,10.26,10.27
DESO,2022-11-18,10.3,11.1,9.26,9.48
DESO,2022-11-19,9.44,10.27,9.44,9.8
DESO,2022-11-20,9.79,9.85,9.02,9.28
DESO,2022-11-21,9.2,9.4,8.43,8.7
DESO,2022-11-22,8.73,9.19,8.38,8.54
DESO,2022-11-23,8.59,9.34,8.54,8.75
DESO,2022-11-24,8.71,9.58,8.65,8.86
DESO,2022-11-25,8.84,9.06,8.67,8.71
DESO,2022-11-26,8.72,9.18,8.72,8.89
DESO,2022-11-27,8.86,9.26,8.85,9.06
DESO,2022-11-28,8.96,8.99,8.55,8.59
DESO,2022-11-29,8.62,9.0,8.61,8.77
DESO,2022-11-30,8.73,9.69,8.72,9.21
DESO,2022-12-01,9.26,9.83,9.01,9.48
DESO,2022-12-02,9.61,9.85,9.44,9.48
DESO,2022-12-03,9.55,9.65,9.25,9.36
DESO,2022-12-04,9.27,9.48,9.2,9.35
DESO,2022-12-05,9.43,9.56,9.25,9.37
DESO,2022-12-06,9.1378,9.29849,8.80651,9.03312
DESO,2022-12-07,9.0405,9.08755,8.5628,8.78716
DESO,2022-12-08,8.9,9.17623,8.77049,9.10293
DESO,2022-12-09,9.10564,11.01,8.94,10.39
DESO,2022-12-10,10.35,11.8,9.46,9.54
DESO,2022-12-11,9.38,10.16,9.31,9.43
DESO,2022-12-12,9.44,9.51,8.7,8.79
DESO,2022-12-13,8.79,9.39,8.78,9.09
DESO,2022-12-14,8.97,9.12,8.81,8.95
DESO,2022-12-15,8.98,9.18,8.93,9.1
DESO,2022-12-16,8.83767,9.15,8.61,8.64
DESO,2022-12-17,8.53,8.75,8.48,8.61
DESO,2022-12-18,8.51,8.61,8.39,8.58
DESO,2022-12-19,8.6,8.71,8.44,8.46
DESO,2022-12-20,8.54,8.55,8.27,8.36
DESO,2022-12-21,8.43,8.47,7.15,7.43
DESO,2022-12-22,7.37,7.7,7.18,7.35
DESO,2022-12-23,7.35,7.35,7.08,7.11
DESO,2022-12-24,7.15,7.73,7.11,7.11
DESO,2022-12-25,7.16,7.19,7.04,7.06
DESO,2022-12-26,7.08,7.65,7.03,7.54
DESO,2022-12-27,7.42,7.42,7.01,7.04
DESO,2022-12-28,7.03,8.5,6.98,7.51
DESO,2022-12-29,7.52,7.52,6.86,6.86
DESO,2022-12-30,6.92,6.96,6.3,6.52
DESO,2022-12-31,6.53,6.57,6.23,6.24
